,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
206,Pavlodar Region,Temp_max_jul_std,0.6781102584342138,CMCC-ESM2,0.8226968835479301,MPI-ESM1-2-HR,0.9729870252163408,MRI-ESM2-0,"(0.7707200743378826, 0.8641391582010904)"
207,Tyva Republic,Temp_max_jul_std,3.0825209830165163,GFDL-ESM4,3.197676969229085,EC-Earth3-Veg,3.4448264003615963,MRI-ESM2-0,"(3.1403195662854855, 3.2487393190975733)"
208,Uvs,Temp_max_jul_std,3.3053149365794448,GISS-E2-1-G,3.6061449607741,INM-CM5-0,3.647529242390125,ACCESS-CM2,"(3.532222538534532, 3.6420880448191597)"
209,Zavkhan,Temp_max_jul_std,2.8676307667919527,GISS-E2-1-G,3.2713231699633885,INM-CM5-0,3.639064676278611,MRI-ESM2-0,"(3.1735253824982363, 3.3701553273013385)"
210,Almaty Region,Temp_max_aug,30.159566169951574,CMCC-ESM2,30.89101820909773,MIROC6,32.16148000068199,ACCESS-CM2,"(30.593765638069687, 31.420288574784227)"
211,Altai Republic,Temp_max_aug,17.437899906497506,CMCC-ESM2,18.94178553094749,MIROC6,20.463375898357288,UKESM1-0-LL,"(18.521622598888698, 19.490228278032127)"
212,Altai krai,Temp_max_aug,24.32775410537785,CMCC-ESM2,25.56576387267492,GISS-E2-1-G,27.41500554517861,UKESM1-0-LL,"(25.19407326374315, 26.262046488168096)"
213,Altay Prefecture,Temp_max_aug,25.961211104812296,CMCC-ESM2,27.34137219702696,GFDL-ESM4,28.785434775762155,UKESM1-0-LL,"(26.987694520024487, 27.994449548429106)"
214,BayanUlgii,Temp_max_aug,16.446873790634676,CMCC-ESM2,17.86882377128483,MIROC6,19.274860922987617,UKESM1-0-LL,"(17.468094991705673, 18.512624376000932)"
215,Bortala Mongol AP,Temp_max_aug,27.1168414691204,CMCC-ESM2,27.90268247036806,GISS-E2-1-G,29.16357025888958,ACCESS-CM2,"(27.563745253604218, 28.458396223913894)"
216,Changji Hui AP,Temp_max_aug,29.59042657690696,CMCC-ESM2,30.76464925607712,MIROC6,32.241994315800504,UKESM1-0-LL,"(30.411192790355976, 31.422981620470004)"
217,East Kazakhstan Region,Temp_max_aug,26.3707282023546,CMCC-ESM2,27.39627880358221,FIO-ESM-2-0,28.889876609981886,UKESM1-0-LL,"(27.09916068900414, 28.01789607253279)"
218,Govi-Altai,Temp_max_aug,24.6871318630064,CMCC-ESM2,25.66040445095949,EC-Earth3-Veg,27.259669842750533,UKESM1-0-LL,"(25.306927223680486, 26.407913066626225)"
219,Ili Kazakh Autonomous Prefecture,Temp_max_aug,26.200574195001124,CMCC-ESM2,27.37989226807025,GFDL-ESM4,28.73411816032425,UKESM1-0-LL,"(27.01348919017313, 27.975238281550144)"
220,Khovd,Temp_max_aug,22.400696463178296,CMCC-ESM2,23.949825884205428,MIROC6,25.399981831395348,UKESM1-0-LL,"(23.37108260287779, 24.55802932504409)"
221,Pavlodar Region,Temp_max_aug,26.422990597110072,CMCC-ESM2,27.206426968232044,GFDL-ESM4,28.69660074904377,UKESM1-0-LL,"(26.930325616456006, 27.798550572696964)"
222,Tyva Republic,Temp_max_aug,18.59976114175728,CMCC-ESM2,20.13111407651401,MIROC6,21.741393166124297,UKESM1-0-LL,"(19.718068392180637, 20.739629143338053)"
223,Uvs,Temp_max_aug,22.230340368236472,CMCC-ESM2,24.081282878256516,MIROC6,25.65123997995992,UKESM1-0-LL,"(23.504764309684816, 24.729319242034002)"
224,Zavkhan,Temp_max_aug,19.884851667247084,CMCC-ESM2,21.45547568779384,MIROC6,23.12784313512101,UKESM1-0-LL,"(20.99461961558524, 22.151629078477097)"
225,Almaty Region,Temp_max_aug_std,5.124854710155261,HadGEM3-GC31-LL,5.180589508630228,MPI-ESM1-2-HR,5.310415542200273,MIROC6,"(5.1592480773382885, 5.22179530360145)"
226,Altai Republic,Temp_max_aug_std,3.281808764262533,EC-Earth3-Veg,3.430791505953334,INM-CM5-0,3.515764371482788,UKESM1-0-LL,"(3.3608834427404615, 3.4505145384939127)"
227,Altai krai,Temp_max_aug_std,1.344454371183673,UKESM1-0-LL,1.4414830900196298,INM-CM5-0,1.547243496804816,CMCC-ESM2,"(1.40489388813531, 1.4705187230621497)"
228,Altay Prefecture,Temp_max_aug_std,5.605167118158958,MRI-ESM2-0,5.703716503414297,ACCESS-CM2,5.749446937070823,GISS-E2-1-G,"(5.6733141465517125, 5.7185218531841)"
229,BayanUlgii,Temp_max_aug_std,3.1156210156063486,FIO-ESM-2-0,3.1260366048646264,UKESM1-0-LL,3.3121393391099163,GISS-E2-1-G,"(3.1154956035815067, 3.1795380308638066)"
230,Bortala Mongol AP,Temp_max_aug_std,7.1527538008739375,GFDL-ESM4,7.238392228992091,MRI-ESM2-0,7.297110092907936,EC-Earth3-Veg,"(7.213843634717293, 7.259156400547214)"
231,Changji Hui AP,Temp_max_aug_std,5.480473823694543,CMCC-ESM2,5.544249027660742,UKESM1-0-LL,5.593575754879303,FIO-ESM-2-0,"(5.528123538723884, 5.570996831476988)"
232,East Kazakhstan Region,Temp_max_aug_std,3.590953041312926,UKESM1-0-LL,3.676631087382384,EC-Earth3-Veg,3.7750245733588903,CMCC-ESM2,"(3.6358678298985763, 3.7026054045582737)"
233,Govi-Altai,Temp_max_aug_std,4.087842576475985,GISS-E2-1-G,4.182590985988072,UKESM1-0-LL,4.269623905343521,CMCC-ESM2,"(4.156170567577873, 4.2137389221073205)"
234,Ili Kazakh Autonomous Prefecture,Temp_max_aug_std,6.213538691654369,CMCC-ESM2,6.280915548475471,GISS-E2-1-G,6.3628879574600585,FIO-ESM-2-0,"(6.262943322235625, 6.311336554713677)"
235,Khovd,Temp_max_aug_std,4.300770236412197,MRI-ESM2-0,4.408807177099189,INM-CM5-0,4.517556516729364,GISS-E2-1-G,"(4.3782403844702715, 4.435301341314836)"
236,Pavlodar Region,Temp_max_aug_std,0.7064506943956176,MPI-ESM1-2-HR,0.7775394039029248,MIROC6,0.8419181909532866,ACCESS-CM2,"(0.7513101484762688, 0.8034869072042059)"
237,Tyva Republic,Temp_max_aug_std,2.8304347994771897,CMCC-ESM2,2.940521628371815,MIROC6,3.0724977876041706,MRI-ESM2-0,"(2.9073834447977775, 2.9822405305687063)"
