,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
58,Uvs,Temp_min_feb_std,3.2313819153556538,EC-Earth3-Veg,3.368894526021001,GISS-E2-1-G,3.639477645681857,GFDL-ESM4,"(3.334493247643994, 3.44542638304129)"
59,Zavkhan,Temp_min_feb_std,3.1141416303610963,UKESM1-0-LL,3.2702954439576604,FIO-ESM-2-0,3.5829736292437446,GISS-E2-1-G,"(3.2169530565478226, 3.3870808716622154)"
60,Almaty Region,Temp_min_mar,-7.051360673975312,BCC-CSM2-MR,-6.0613310287799225,GISS-E2-1-G,-4.749519411102776,HadGEM3-GC31-LL,"(-6.32554777899762, -5.601785917407252)"
61,Altai Republic,Temp_min_mar,-17.244486102962746,BCC-CSM2-MR,-15.63219487936345,MRI-ESM2-0,-14.600996443238486,UKESM1-0-LL,"(-16.09265390292062, -15.30462010451445)"
62,Altai krai,Temp_min_mar,-14.101992372947311,BCC-CSM2-MR,-11.82390044945132,MIROC6,-10.10323760603938,UKESM1-0-LL,"(-12.379545990845088, -11.13288763164574)"
63,Altay Prefecture,Temp_min_mar,-11.70709226977828,BCC-CSM2-MR,-10.88550032281431,MRI-ESM2-0,-9.767585506424792,INM-CM5-0,"(-11.220153531912423, -10.544911842527952)"
64,BayanUlgii,Temp_min_mar,-19.2734375,BCC-CSM2-MR,-17.665356520897834,GISS-E2-1-G,-16.85445892995356,ACCESS-CM2,"(-18.28343280447683, -17.46562258817618)"
65,Bortala Mongol AP,Temp_min_mar,-8.420960576848097,MPI-ESM1-2-HR,-7.663942485768871,ACCESS-CM2,-6.150842658296943,HadGEM3-GC31-LL,"(-7.996912186267463, -7.266814611293598)"
66,Changji Hui AP,Temp_min_mar,-7.159828000576279,GFDL-ESM4,-6.210750045840318,MRI-ESM2-0,-5.331768896034157,MIROC6,"(-6.557897337619186, -5.8151604307532105)"
67,East Kazakhstan Region,Temp_min_mar,-12.706786765445765,BCC-CSM2-MR,-11.426318172670555,GFDL-ESM4,-9.963015225649023,INM-CM5-0,"(-11.864454475170975, -10.914018330261166)"
68,Govi-Altai,Temp_min_mar,-12.123763992537311,GFDL-ESM4,-10.39844333022388,MIROC6,-9.351854844083157,HadGEM3-GC31-LL,"(-11.010243383452375, -10.062791254484312)"
69,Ili Kazakh Autonomous Prefecture,Temp_min_mar,-9.739079036253097,BCC-CSM2-MR,-9.11323990936726,CMCC-ESM2,-8.04603147517451,HadGEM3-GC31-LL,"(-9.329021661455135, -8.683225044285082)"
70,Khovd,Temp_min_mar,-13.224068859011629,BCC-CSM2-MR,-12.182054717781009,MRI-ESM2-0,-10.634205426356589,HadGEM3-GC31-LL,"(-12.571094155196848, -11.66158918465855)"
71,Pavlodar Region,Temp_min_mar,-13.05566281741394,BCC-CSM2-MR,-10.56839174723757,GFDL-ESM4,-7.630535652624309,INM-CM5-0,"(-11.192182645431444, -9.454848992780004)"
72,Tyva Republic,Temp_min_mar,-21.595739245178187,BCC-CSM2-MR,-19.409223946344948,FIO-ESM-2-0,-18.613811115961585,UKESM1-0-LL,"(-20.058127196337292, -19.095150192893843)"
73,Uvs,Temp_min_mar,-20.417655623747496,BCC-CSM2-MR,-18.275931550601204,CMCC-ESM2,-17.53625219188377,ACCESS-CM2,"(-19.08907335153189, -18.159037051967413)"
