,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
10,Khovd,Prec_jan,1.57015503875969,"['GISS-E2-1-G' 'GFDL-ESM4' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2'
 'ACCESS-CM2' 'MPI-ESM1-2-HR' 'INM-CM5-0' 'HadGEM3-GC31-LL' 'MRI-ESM2-0'
 'MIROC6' 'UKESM1-0-LL']",1.57015503875969,"['GISS-E2-1-G' 'GFDL-ESM4' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2'
 'ACCESS-CM2' 'MPI-ESM1-2-HR' 'INM-CM5-0' 'HadGEM3-GC31-LL' 'MRI-ESM2-0'
 'MIROC6' 'UKESM1-0-LL']",1.6323643410852713,BCC-CSM2-MR,"(1.564514029243859, 1.5853667101717648)"
11,Pavlodar Region,Prec_jan,17.009031024224395,INM-CM5-0,18.41818954526137,EC-Earth3-Veg,22.21738206544836,BCC-CSM2-MR,"(17.95751015634673, 19.409974887296414)"
12,Tyva Republic,Prec_jan,8.852289864274942,GISS-E2-1-G,9.087308516548932,MIROC6,10.501547741884275,BCC-CSM2-MR,"(9.012640714880844, 9.539246797559096)"
13,Uvs,Prec_jan,3.0741482965931866,['GISS-E2-1-G' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2' 'INM-CM5-0'],3.074949899799599,MPI-ESM1-2-HR,3.427454909819639,BCC-CSM2-MR,"(3.0653831476603095, 3.183452986145765)"
14,Zavkhan,Prec_jan,1.6834407104300888,"['GFDL-ESM4' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2' 'ACCESS-CM2'
 'INM-CM5-0' 'HadGEM3-GC31-LL' 'MRI-ESM2-0' 'MIROC6' 'UKESM1-0-LL']",1.6834407104300888,"['GFDL-ESM4' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2' 'ACCESS-CM2'
 'INM-CM5-0' 'HadGEM3-GC31-LL' 'MRI-ESM2-0' 'MIROC6' 'UKESM1-0-LL']",1.8439839804979976,BCC-CSM2-MR,"(1.6690874368168644, 1.7228411987126757)"
15,Almaty Region,Prec_jan_std,3.685297962084,CMCC-ESM2,4.023254628423861,EC-Earth3-Veg,4.608048453122327,BCC-CSM2-MR,"(3.8969248799357383, 4.220796441955025)"
16,Altai Republic,Prec_jan_std,5.612194168226147,INM-CM5-0,5.934886341098303,EC-Earth3-Veg,7.260637348620697,BCC-CSM2-MR,"(5.748298364664891, 6.27103393387637)"
17,Altai krai,Prec_jan_std,4.673620370825248,MIROC6,5.148187994154388,FIO-ESM-2-0,6.648007570535524,BCC-CSM2-MR,"(4.962245552794778, 5.601070122535248)"
18,Altay Prefecture,Prec_jan_std,2.605883683954609,MIROC6,2.9429356703038905,EC-Earth3-Veg,3.438706773346192,BCC-CSM2-MR,"(2.8034742257153704, 3.0654780396411985)"
19,BayanUlgii,Prec_jan_std,1.4617076162694544,['GFDL-ESM4' 'INM-CM5-0'],1.598233726128337,FIO-ESM-2-0,1.9077553123843527,BCC-CSM2-MR,"(1.5205038809642881, 1.6719929763882841)"
